transportmåte,ruteform,statistikkvariabel,år,value
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Båt,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,1529.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,1876.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,2103.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,2150.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,2182.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,1527.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,1621.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,2039.0
Båt,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,2157.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,500008.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,544517.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,561378.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,573043.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,578390.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,364706.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2021,386004.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2022,536159.0
Båt,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2023,575691.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2015,9392.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2016,9547.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2017,9435.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2018,9362.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2019,9400.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2020,5944.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2021,6106.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2022,8201.0
Båt,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2023,8495.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2015,268.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2016,341.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,359.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,335.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,302.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,238.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,323.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,448.0
Båt,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,361.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,9124.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,9206.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,9076.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,9027.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,9098.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,5706.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,5783.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,7753.0
Båt,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,8134.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2015,1510909.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2016,1680733.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2017,1853372.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2018,1921255.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2019,1995331.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2020,1126271.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2021,1160991.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2022,1841388.0
Sporvei og forstadsbane,I alt,Billettinntekter (1 000 kr),2023,1964282.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2015,160291.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2016,170781.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2017,181882.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2018,189122.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2019,191991.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2020,109788.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2021,114946.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2022,162294.0
Sporvei og forstadsbane,I alt,Passasjerer i alt (1 000 passasjerer),2023,184748.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2015,33.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2016,131.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2017,135.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2018,115.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2019,116.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2020,60.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2021,104.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2022,164.0
Sporvei og forstadsbane,I alt,Skoleskyss (1 000 passasjerer),2023,245.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2015,160259.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2016,170650.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2017,181747.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2018,189008.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2019,191875.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2020,109728.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2021,114842.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2022,162131.0
Sporvei og forstadsbane,I alt,Ordinære (1 000 passasjerer),2023,184504.0
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2015,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2016,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2017,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2018,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2019,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2020,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2021,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2022,
Sporvei og forstadsbane,Kommersielle ruter,Billettinntekter (1 000 kr),2023,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2015,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2016,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2017,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2018,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2019,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2020,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2021,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2022,
Sporvei og forstadsbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2023,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2015,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2016,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2017,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2018,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2019,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2020,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Sporvei og forstadsbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,
Sporvei og forstadsbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,1510909.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,1680733.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,1853372.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,1921255.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,1995331.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,1126271.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2021,1160991.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2022,1841388.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2023,1964282.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2015,160291.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2016,170781.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2017,181882.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2018,189122.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2019,191991.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2020,109788.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2021,114946.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2022,162294.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2023,184748.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2015,33.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2016,131.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,135.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,115.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,116.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,60.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,104.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,164.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,245.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,160259.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,170650.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,181747.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,189008.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,191875.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,109728.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,114842.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,162131.0
Sporvei og forstadsbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,184504.0
Jernbane,I alt,Billettinntekter (1 000 kr),2015,4992378.0
Jernbane,I alt,Billettinntekter (1 000 kr),2016,5337024.0
Jernbane,I alt,Billettinntekter (1 000 kr),2017,5540075.0
Jernbane,I alt,Billettinntekter (1 000 kr),2018,6017619.0
Jernbane,I alt,Billettinntekter (1 000 kr),2019,6371499.0
Jernbane,I alt,Billettinntekter (1 000 kr),2020,3557442.0
Jernbane,I alt,Billettinntekter (1 000 kr),2021,3598103.0
Jernbane,I alt,Billettinntekter (1 000 kr),2022,5941385.0
Jernbane,I alt,Billettinntekter (1 000 kr),2023,6682407.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2015,73836.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2016,74295.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2017,73561.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2018,77732.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2019,80394.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2020,42599.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2021,41401.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2022,66695.0
Jernbane,I alt,Passasjerer i alt (1 000 passasjerer),2023,78220.0
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2015,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2016,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2017,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2018,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2019,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2020,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2021,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2022,
Jernbane,I alt,Skoleskyss (1 000 passasjerer),2023,
Jernbane,I alt,Ordinære (1 000 passasjerer),2015,
Jernbane,I alt,Ordinære (1 000 passasjerer),2016,
Jernbane,I alt,Ordinære (1 000 passasjerer),2017,
Jernbane,I alt,Ordinære (1 000 passasjerer),2018,
Jernbane,I alt,Ordinære (1 000 passasjerer),2019,
Jernbane,I alt,Ordinære (1 000 passasjerer),2020,
Jernbane,I alt,Ordinære (1 000 passasjerer),2021,
Jernbane,I alt,Ordinære (1 000 passasjerer),2022,
Jernbane,I alt,Ordinære (1 000 passasjerer),2023,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2015,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2016,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2017,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2018,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2019,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2020,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2021,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2022,
Jernbane,Kommersielle ruter,Billettinntekter (1 000 kr),2023,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2015,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2016,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2017,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2018,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2019,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2020,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2021,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2022,
Jernbane,Kommersielle ruter,Passasjerer i alt (1 000 passasjerer),2023,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2015,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2016,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2017,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2018,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2019,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2020,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2021,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2022,
Jernbane,Kommersielle ruter,Skoleskyss (1 000 passasjerer),2023,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2015,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2016,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2017,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2018,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2019,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2020,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2021,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2022,
Jernbane,Kommersielle ruter,Ordinære (1 000 passasjerer),2023,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2015,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2016,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2017,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2018,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2019,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2020,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2021,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2022,
Jernbane,Fylkeskommunale ruter,Billettinntekter (1 000 kr),2023,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2015,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2016,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2017,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2018,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2019,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2020,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2021,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2022,
Jernbane,Fylkeskommunale ruter,Passasjerer i alt (1 000 passasjerer),2023,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2015,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2016,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2017,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2018,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2019,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2020,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2021,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2022,
Jernbane,Fylkeskommunale ruter,Skoleskyss (1 000 passasjerer),2023,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2015,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2016,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2017,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2018,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2019,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2020,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2021,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2022,
Jernbane,Fylkeskommunale ruter,Ordinære (1 000 passasjerer),2023,
