år,Alta,Andenes Andøya,Bardufoss,Bergen Flesland,Berlevåg,Bodø,Brønnøysund Brønnøy,Båtsfjord,Fagernes Leirin,Florø,Førde Bringeland,Hammerfest,Harstad/Narvik Evenes,Hasvik,Haugesund Karmøy,Honningsvåg Valan,Kirkenes Høybuktmoen,Kristiansand Kjevik,Kristiansund Kvernberget,Lakselv Banak,Mehamn,Mo i Rana Røssvold,Molde Årø,Mosjøen Kjærstad,Moss Rygge,Namsos,Narvik Framnes,Notodden,Oslo Gardermoen,Røros,Rørvik Ryum,Røst,Sandane Anda,Sandefjord Torp,Sandnessjøen Stokka,Skien Geitryggen,Sogndal Haukåsen,Stavanger Sola,Stokmarknes Skagen,Stord Sørstokken,Svalbard Longyear,Svolvær Helle,Sørkjosen,Tromsø Langnes,Trondheim Værnes,Vadsø,Vardø Svartnes,Vestvågøy Leknes,Værøy,Ålesund Vigra,Ørland,Ørsta-Volda Hovden
2009,343542,59756,176895,3588178,26656,1734450,141606,40909,4919,146691,83467,160290,484786,19703,394359,38514,270096,612628,350797,62326,37323,124824,339976,99003,307947,53494,39722,2462,8713703,13002,47036,20457,53400,338107,118710,39725,120839,2232085,121317,21030,106243,80980,33773,1625188,2849606,118048,36734,108741,9766,713294,4227,94071
2010,336454,61747,190438,3604882,24659,1713538,165455,38419,2797,159783,84624,153122,525673,19910,408858,38372,275308,606011,339649,59469,34034,127795,370860,106017,297707,55289,37323,2622,9016779,14162,50773,20015,27262,325552,123004,44720,112331,2231320,118532,22307,104298,79543,31306,1646925,2900631,121593,41955,108949,6516,746164,6629,99711
2011,359605,62136,197576,3963899,26049,1869716,187714,39504,4057,165850,89426,175801,568120,24200,441610,36955,300216,679352,360533,66495,35327,135181,411493,108750,162577,60884,32147,3003,10000056,16384,53908,22913,52958,346126,126275,44724,122286,2432934,123780,23281,107504,89352,36315,1837025,3190057,128185,50486,113355,7295,831213,6731,103382
2012,354627,67358,209218,4086638,25946,1882561,193606,39880,3165,191512,92803,173630,603422,23725,443384,35244,307068,733166,384225,77855,34585,135254,423468,111872,59750,62093,32611,4074,10384194,17848,59543,23966,60313,583427,133887,42315,124100,2521601,127073,19693,112376,85858,35428,1964695,3342973,127810,50203,113910,4617,890268,7273,119129
2013,359303,75750,212991,4200986,22893,1763316,196973,38605,3263,211188,93612,198005,632670,23170,458706,33920,306108,721990,392738,68247,30193,131217,425233,111889,41523,62902,29325,5958,10586314,22454,64553,21283,53876,631409,134519,35675,119288,2719389,123447,28333,148553,70290,39283,1964502,3391399,115062,44571,119141,9577,851827,6159,129037
2014,377681,69084,220761,4172709,22059,1761766,167587,39282,3537,211360,90103,199177,667056,21257,457840,35183,309957,722148,380975,65646,31798,135676,442778,109522,428,63057,27330,5864,10885498,21284,65677,21237,49103,629883,120406,33310,114542,2784663,118490,37223,152716,82081,36344,1985832,3429151,125889,47584,111535,9585,821510,5852,126366
2015,398351,68154,230770,3867632,22739,1791225,157833,40298,3106,183700,86224,203601,664444,20730,455832,34872,315460,732750,362298,64571,31905,136180,466013,109251,108,63457,26314,4390,10887872,20680,65788,20734,48325,487297,127771,13189,108026,2632532,120068,46670,158091,86337,34003,2021467,3382131,128548,49545,110583,9262,781591,5900,117773
2016,384565,69039,245211,3759995,22752,1864889,159629,41602,695,154300,87749,201562,684861,20647,462757,37084,313730,717058,302096,65499,34022,145009,465488,110970,38,62806,25880,2043,11201798,20938,65868,22877,51913,374951,127675,0,111359,2574994,120221,42237,164100,88494,37968,2113797,3406389,126298,48567,118935,9042,792350,5439,107265
2017,388458,78714,246187,3851042,22403,1909905,133108,42170,152,153896,89387,226274,718006,36064,484046,37745,320549,734956,303755,64662,32675,127300,430237,85949,0,50940,7002,2210,11617386,24481,49855,22220,55089,362978,101140,8,114779,2577898,139730,34408,160435,119440,31364,2237263,3495650,131352,48456,151547,8877,816743,4193,114596
2018,391935,75312,241697,3967206,21296,1882327,143262,40658,0,150660,89508,207040,728893,41071,477713,36942,317751,764052,317634,62001,31724,113208,411953,76234,0,57534,0,736,12006302,24502,44095,22436,52680,346575,84915,0,110686,2665742,126322,36695,176870,112378,27458,2221778,3522685,127540,46877,143743,6440,847304,22064,122189
2019,377473,64950,246098,4053463,22370,1922959,142746,39399,0,159276,85851,182984,735401,42114,479885,37213,317683,732832,323317,59378,32034,109755,411470,76101,0,55442,0,671,11854663,26292,46446,21317,48942,347992,81921,0,104807,2722908,110615,38471,178520,98499,28826,2231581,3460855,127786,47487,134292,7512,861517,22098,111472
2020,202868,61482,131514,2258109,16606,1093301,114836,31494,0,115107,34320,141622,393114,35311,203818,28297,171363,332686,212533,46272,26301,67598,177894,53320,0,34611,0,0,5275942,20530,37944,16324,29163,171345,63778,0,78032,1314120,63159,12676,68508,55617,21472,1241210,1661392,104848,32167,93019,6237,388752,10044,60779
2021,256239,64057,127812,2819075,22499,1287148,117801,42506,0,119228,40341,197165,545592,45366,267207,38215,197033,364453,203877,54918,35529,103099,192778,75090,0,47584,0,2,5830990,6277,41707,17311,36590,233946,69249,0,87852,1491027,103078,15723,83301,74074,28903,1583055,1982103,128677,47326,84444,7240,438093,12817,74569
2022,344846,100661,178531,4107972,25203,1761813,157982,41031,0,150837,64496,200466,789523,49672,400629,42197,257979,568525,278461,59246,40040,132042,330558,78868,0,62940,0,2,9958933,14147,62075,22540,56055,314261,83719,0,126836,2328196,137432,21289,159940,101163,28671,2247183,3209147,145109,52399,105324,7182,734100,16574,106677
2023,365574,95552,203732,4173226,26707,1857054,152309,48402,0,157597,68850,178830,816198,48314,465427,42607,294234,608403,284479,59984,40662,133296,379604,88251,0,38979,0,0,10682952,17754,46095,20428,62575,318438,85787,0,133024,2415549,139708,10346,160770,104789,27844,2238923,3294374,142720,54622,114959,8037,789283,26236,99981
2024,342102,73748,189611,3743336,22692,1755652,122799,28904,0,132552,70184,165315,744539,21163,388419,25131,271021,559771,294054,69551,21473,90116,313784,68203,0,33884,0,0,10044422,16568,46396,17912,50281,278643,75553,0,110616,2188424,112368,32045,164627,97672,14392,2069791,3038810,84043,36167,127632,7184,702567,24530,131223
